product_id,name,description,price,category
1,Wireless Mouse,"A sleek, ergonomic wireless mouse with a long-lasting battery. Perfect for everyday use and travel. Features a comfortable grip and precise tracking.",312.59,Electronics
2,Mechanical Keyboard,"A durable mechanical keyboard with tactile switches for a satisfying typing experience. Features customizable RGB backlighting and a detachable wrist rest.",156.62,Electronics
3,USB-C Hub,"A versatile USB-C hub with multiple ports, including HDMI, USB-A, and an SD card reader. Perfect for connecting all your devices to your laptop.",153.52,Electronics
4,Ergonomic Chair,"A comfortable ergonomic chair with adjustable lumbar support, armrests, and height. Perfect for long hours of work or gaming.",184.38,Electronics
5,Desk Lamp,"A modern LED desk lamp with adjustable brightness and color temperature. Perfect for creating the perfect lighting for any task.",102.22,Electronics
6,Monitor Stand,"A sturdy monitor stand that raises your monitor to a comfortable viewing height. Features a built-in drawer for storing your office supplies.",328.44,Electronics
7,Laptop Sleeve,"A stylish and protective laptop sleeve made from durable, water-resistant material. Features a soft, padded interior to keep your laptop safe from scratches.",255.99,Electronics
8,External SSD,"A fast and reliable external SSD with up to 1TB of storage. Perfect for storing and transferring large files.",117.09,Electronics
9,Noise Cancelling Headphones,"Immerse yourself in your music with these noise-cancelling headphones. Features a comfortable, over-ear design and a long-lasting battery.",212.31,Electronics
10,Bluetooth Speaker,"A portable Bluetooth speaker with rich, powerful sound. Perfect for parties, picnics, and outdoor adventures.",381.98,Electronics
11,Smartwatch,"Stay connected and track your fitness with this stylish smartwatch. Features a heart rate monitor, GPS, and a variety of watch faces.",124.87,Electronics
12,Fitness Tracker,"Track your steps, calories, and sleep with this slim and lightweight fitness tracker. Features a long-lasting battery and a water-resistant design.",296.24,Electronics
13,Action Camera,"Capture all your adventures with this rugged and waterproof action camera. Shoots stunning 4K video and features a variety of mounting options.",168.82,Electronics
14,Drone,"Explore the world from a new perspective with this easy-to-fly drone. Features a high-quality camera and a long-lasting battery.",172.91,Electronics
15,Portable Projector,"Turn any room into a movie theater with this portable projector. Features a bright, clear picture and a built-in speaker.",163.42,Electronics
16,Gaming Laptop,"Experience the ultimate gaming performance with this powerful gaming laptop. Features a high-refresh-rate display, a dedicated graphics card, and a customizable RGB keyboard.",141.86,Electronics
17,Desktop PC,"A powerful desktop PC for work, gaming, and everything in between. Features a fast processor, plenty of RAM, and a spacious hard drive.",159.92,Electronics
18,Graphics Card,"Upgrade your gaming experience with this powerful graphics card. Features the latest technology for stunning visuals and smooth gameplay.",257.05,Electronics
19,Webcam,"Look your best on video calls with this high-definition webcam. Features a built-in microphone and a wide-angle lens.",397.24,Electronics
20,Microphone,"Record crystal-clear audio with this professional-grade microphone. Perfect for podcasting, streaming, and recording music.",433.09,Electronics
21,Router,"Get fast and reliable Wi-Fi with this powerful router. Features the latest Wi-Fi 6 technology for a smooth and seamless connection.",481.41,Home & Kitchen
22,Mesh Wi-Fi System,"Eliminate Wi-Fi dead zones with this easy-to-use mesh Wi-Fi system. Provides fast and reliable coverage for your entire home.",421.03,Home & Kitchen
